Document Title,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page
Towards revealing JavaScript program intents using abstract interpretation,"Nara Institute of Science and Technology, Ikoma, Nara, Japan",Proceedings of the Sixth Asian Internet Engineering Conference,20110708,2010,,,87,94
x86-TSO: a rigorous and usable programmer's model for x86 multiprocessors,University of Cambridge,Communications of the ACM,20110708,2010,53,7,89,97
Open source legality patterns: architectural design decisions motivated by legal concerns,"Tampere University of Technology, Tampere, Finland",Proceedings of the 14th International Academic MindTrek Conference,20110708,2010,,,207,214
An analysis of object oriented variability implementation mechanisms,"Universiti Teknologi PETRONAS, Perak, Malaysia",ACM SIGSOFT Software Engineering Notes,20110708,2011,36,1,1,4
The Google FindBugs fixit,"University of Maryland, College Park, MD, USA",Proceedings of the 19th international symposium on Software testing and analysis,20110708,2010,,,241,252
From scratch to system: a hands-on introductory embedded systems course,"Boise State University, Boise, Idaho",Proceedings of the 2010 Workshop on Embedded Systems Education,20110708,2010,,,1,5
Reconfigurable asynchronous logic automata: (RALA),"MIT Center for Bits and Atoms, Cambridge, MA, USA",ACM SIGPLAN Notices,20110708,2010,45,1,1,6
Reconfigurable asynchronous logic automata: (RALA),"MIT Center for Bits and Atoms, Cambridge, MA, USA",Proceedings of the 37th annual ACM SIGPLAN-SIGACT symposium on Principles of programming languages,20110708,2010,,,1,6
Class properties for security review in an object-capability subset of Java: (short paper),"University of California, Berkeley",Proceedings of the 5th ACM SIGPLAN Workshop on Programming Languages and Analysis for Security,20110708,2010,,,1,7
A subspace coding approach to MIMO compound broadcast channel,"South China University of Technology, China",Proceedings of the 6th International Wireless Communications and Mobile Computing Conference,20110708,2010,,,306,310
Software fault prediction tool,"AT&#38;T Labs - Research, Florham Park, NJ, USA",Proceedings of the 19th international symposium on Software testing and analysis,20110708,2010,,,275,278
3DTV and 3d video communications,"Ko&#231; University, Stambul, Turkey","Proceedings of the 13th ACM international conference on Modeling, analysis, and simulation of wireless and mobile systems",20110708,2010,,,3,4
Evaluation of work product defects during corrective & enhancive software evolution: a field study comparison,"University of Alabama, Tuscaloosa, AL, USA",ACM SIGMIS Database,20110708,2011,42,1,59,73
Observations from semi-automatic testing of program codes in the high school student maturity exam,"Institute of Mathematics and Informatics, Vilnius LT, Lithuania",Proceedings of the 10th Koli Calling International Conference on Computing Education Research,20110708,2010,,,31,36
DNA sequence representation methods,"Cochin University of Science & Technology, Cochin, Kerala, India",Proceedings of the International Symposium on Biocomputing,20110708,2010,,,1,4
"Clone detection: Why, what and how?","Saint-Petersburg State, Polytechnical University, Russia",2010 6th Central and Eastern European Software Engineering Conference (CEE-SECR),20110531,2010,,,36,42
Factors Limiting Industrial Adoption of Test Driven Development: A Systematic Review,"Sch. of Innovation, Design & Eng., Malardalen Univ., Vasteras, Sweden","2011 Fourth IEEE International Conference on Software Testing, Verification and Validation",20110519,2011,,,337,346
A Power Adapting CODE Algorithm Applying in the Wireless Sensor Networks,"Sch. of Commun. Eng., Xi'an Univ. of Sci. & Technol., Xi'an, China",2010 International Conference on Intelligent System Design and Engineering Application,20110407,2010,1,,137,141
Revealing Mistakes in Concern Mapping Tasks: An Experimental Evaluation,"Inf. Dept., PUC-Rio, Rio de Janeiro, Brazil",2011 15th European Conference on Software Maintenance and Reengineering,20110405,2011,,,101,110
Sense of Touch in Robots With Self-Organizing Maps,"Lund University Cognitive Science, Sweden",IEEE Transactions on Robotics,20110606,2011,27,3,498,507
Funk2: A Distributed Processing Language for Reflective Tracing of a Large Critic-Selector Cognitive Architecture,"MIT Media Lab., Cambridge, MA, USA",2010 Fourth IEEE International Conference on Self-Adaptive and Self-Organizing Systems Workshop,20110310,2010,,,269,274
Effort-Aware Defect Prediction Models,"Fachbereich Math. und Inf., Univ. of Bremen, Bremen, Germany",2010 14th European Conference on Software Maintenance and Reengineering,20110217,2010,,,107,116
Passive optical network monitoring: challenges and requirements,University of Waterloo,IEEE Communications Magazine,20110204,2011,49,2,s45,S52
A Conceptual Framework for Object-oriented Design Assessment,"Dept. of Comput. Sci., Babes-Bolyai Univ., Cluj-Napoca, Romania",2010 Fourth UKSim European Symposium on Computer Modeling and Simulation,20110128,2010,,,90,95
Developing a Geo-spatial Information Framework to Facilitate National Identification System (NIS) in Ghana,"Comput. Eng. Dept., Univ. of Ghana, Accra, Ghana",2010 Fourth UKSim European Symposium on Computer Modeling and Simulation,20110128,2010,,,68,74
Work in progress â€” Military troops to engineers,"College of Engineering, San Diego State University",2010 IEEE Frontiers in Education Conference (FIE),20101223,2010,,,F3E-1,F3E-2
Test-Driven Development - Still a Promising Approach?,"Fac. of Inf. Technol., Univ. of Jyvaskyla, Jyvaskyla, Finland",2010 Seventh International Conference on the Quality of Information and Communications Technology,20101203,2010,,,403,408
Do Testers' Preferences Have an Impact on Effectiveness?,,2010 Seventh International Conference on the Quality of Information and Communications Technology,20101203,2010,,,304,309
Architectural Analysis of Systems Based on the Publisher-Subscriber Style,"Fraunhofer CESE, College Park, MD, USA",2010 17th Working Conference on Reverse Engineering,20101129,2010,,,173,182
Adding Optimization to the Decompilable Code Editor,"Fac. of Electr. Eng., Univ. of Sarajevo, Sarajevo, Bosnia-Herzegovina",2010 Fifth International Conference on Software Engineering Advances,20101101,2010,,,88,93
CoDocent: Support API Usage with Code Example and API Documentation,"Inst. of Comput. & Commun. Eng., Nat. Cheng Kung Univ., Tainan, Taiwan",2010 Fifth International Conference on Software Engineering Advances,20101101,2010,,,135,140
A Web Services Status Monitoring Technology for Distributed System Management in the Cloud,"Dept. of Comput. Sci., Nat. Chiao Tung Univ., Hsinchu, Taiwan",2010 International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery,20101101,2010,,,502,505
An approach to improving software inspections performance,"Dept. de Sistemas de Informa&#x00E7;&#x00E3;o, Universidade do Minho, Portugal",2010 IEEE International Conference on Software Maintenance,20101025,2010,,,1,8
Revisiting common bug prediction findings using effort-aware models,"Software Analysis and Intelligence Lab (SAIL), School of Computing, Queen's University, Canada",2010 IEEE International Conference on Software Maintenance,20101025,2010,,,1,10
Migrating from COBOL to Java,"ANECON GMBH, Testing Department, Vienna, Austria",2010 IEEE International Conference on Software Maintenance,20101025,2010,,,1,7
The Impact of Model Driven Development on the Software Architecture Process,"Leiden Inst. of Adv. Comput. Sci., Leiden Univ., Leiden, Netherlands",2010 36th EUROMICRO Conference on Software Engineering and Advanced Applications,20101011,2010,,,333,341
"Software Architecture and Characteristic Functions in Learning Management System ""NOBASU""","Dept. of Commun. Network Eng., Okayama Univ., Okayama, Japan",2010 10th IEEE/IPSJ International Symposium on Applications and the Internet,20101007,2010,,,109,112
Lightweight protection against brute force login attacks on Web applications,"School of Information Technology and Engineering, University of Ottawa, Canada","2010 Eighth International Conference on Privacy, Security and Trust",20100930,2010,,,181,188
Notice of Retraction<BR>Traceability and Quality of Agricultural Produce Fast Traceability System Design,"Bussiness Sch., Beijing WUZI Univ., Beijing, China",2010 International Conference on E-Business and E-Government,20100930,2010,,,4981,4988
Improve the Throughput of AODV Based on Network Coding Ideas,"Center of Software Technol., ChongQing Univ. of Posts & Telecommun., Chongqing, China",2010 WASE International Conference on Information Engineering,20100916,2010,1,,280,283
CheckDep: A Tool for Tracking Software Dependencies,"Simon Fraser Univ., Burnaby, BC, Canada",2010 IEEE 18th International Conference on Program Comprehension,20100726,2010,,,42,43
Spectral Techniques: The First Decade of the XXI Century (Invited Paper),"Eur. Centre for Soft Comput., Mieres, Spain",2010 40th IEEE International Symposium on Multiple-Valued Logic,20100621,2010,,,3,8
Adaptive MIMO transmission techniques for broadband wireless communication systems [Topics in Wireless Communications],"Bell Laboratories, Alcatel-Lucent",IEEE Communications Magazine,20100506,2010,48,5,112,118
Crypto: Not Just for the Defensive Team,,IEEE Security & Privacy,20100329,2010,8,2,63,66
Identifying Security Relevant Warnings from Static Code Analysis Tools through Code Tainting,"Blekinge Inst. of Technol., Ericsson AB, Karlskrona, Sweden","2010 International Conference on Availability, Reliability and Security",20100325,2010,,,386,390
Tactile Sensingâ€”From Humans to Humanoids,"Robotics, Brain, and Cognitive Sciences Department, Italian Institute of Technology, Genoa, Italy",IEEE Transactions on Robotics,20100205,2010,26,1,1,20
State of the Journal,,IEEE Transactions on Parallel and Distributed Systems,20171211,2018,29,1,1,1
Detection and location of passive and semi-passive RFID tags in in-door environments,"University of Cambridge, U.K.",2015 International Conference on Pervasive and Embedded Computing and Communication Systems (PECCS),20160602,2015,,,IS-11,IS-12
Editorial: Reflections on 2015 and entering the active content age,"Department of Electrical and Computer Engineering, Northeastern University, Boston, MA, USA",IEEE Transactions on Power Electronics,20150921,2016,31,1,3,4
EMC society board of directors meeting,,IEEE Electromagnetic Compatibility Magazine,20150817,2015,4,2,136,140
Conceptual modeling in Agile information systems development,"Universitat Polit&#x00E8;cnica de Catalunya, Spain",2014 9th International Conference on Evaluation of Novel Approaches to Software Engineering (ENASE),20150402,2014,,,1,1
EMC society Board of Directors meeting,,IEEE Electromagnetic Compatibility Magazine,20140708,2014,3,2,88,93
Message from the ComManTel 2014 chairs,"Duy Tan University, Vietnam","2014 International Conference on Computing, Management and Telecommunications (ComManTel)",20140605,2014,,,1,1
EMC Society Board of Directors meeting,,IEEE Electromagnetic Compatibility Magazine,20140415,2014,3,1,88,92
EMC Society board of directors meeting,,IEEE Electromagnetic Compatibility Magazine,20140116,2013,2,4,84,90
The Cycles of Continuous Improvement,Center for International Science and Technology Policy,Computer,20131219,2013,46,12,6,8
EMC society board of directors meeting,,IEEE Electromagnetic Compatibility Magazine,20130702,2013,2,2,109,115
EMC Society Board of Directors meeting,,IEEE Electromagnetic Compatibility Magazine,20130502,2013,2,1,96,104
EMC Society Board of Directors Meeting,,IEEE Electromagnetic Compatibility Magazine,20130104,2012,1,4,104,111
Message from TPC co-chairs,,2012 24th International Teletraffic Congress (ITC 24),20121018,2012,,,V,V
Foreword,,2012 Third International Workshop on Managing Technical Debt (MTD),20120628,2012,,,iii,iv
